T	uv	vt	tt
2518.8917	0.27119125	0.35383901	-4.258622
2512.5628	0.27151904	0.35391567	-4.2930762
2506.2657	0.27184691	0.35399174	-4.3278847
2500	0.27217485	0.3540672	-4.3630525
2493.7656	0.27250286	0.35414208	-4.3985848
2487.5622	0.27283093	0.35421636	-4.4344866
2481.3896	0.27315908	0.35429006	-4.4707634
2475.2475	0.27348729	0.35436317	-4.5074205
2469.1358	0.27381555	0.35443571	-4.5444634
2463.0542	0.27414388	0.35450766	-4.5818977
2457.0025	0.27447227	0.35457904	-4.6197291
2450.9804	0.27480072	0.35464984	-4.6579635
2444.9878	0.27512922	0.35472007	-4.6966068
2439.0244	0.27545777	0.35478974	-4.735665
2433.09	0.27578637	0.35485884	-4.7751444
2427.1845	0.27611503	0.35492738	-4.8150511
2421.3075	0.27644373	0.35499536	-4.8553916
2415.4589	0.27677248	0.35506279	-4.8961725
2409.6386	0.27710127	0.35512966	-4.9374004
2403.8462	0.2774301	0.35519598	-4.9790821
2398.0815	0.27775898	0.35526176	-5.0212246
2392.3445	0.27808789	0.35532699	-5.063835
2386.6348	0.27841684	0.35539167	-5.1069205
2380.9524	0.27874582	0.35545582	-5.1504884
2375.2969	0.27907484	0.35551943	-5.1945463
2369.6682	0.2794039	0.35558251	-5.2391019
2364.0662	0.27973298	0.35564505	-5.284163
2358.4906	0.28006209	0.35570707	-5.3297376
2352.9412	0.28039123	0.35576856	-5.3758339
2347.4178	0.28072039	0.35582952	-5.4224603
2341.9204	0.28104958	0.35588997	-5.4696252
2336.4486	0.28137879	0.3559499	-5.5173374
2331.0023	0.28170802	0.35600931	-5.5656058
2325.5814	0.28203726	0.35606821	-5.6144395
2320.1856	0.28236653	0.3561266	-5.6638477
2314.8148	0.28269581	0.35618448	-5.7138399
2309.4688	0.28302511	0.35624186	-5.7644258
2304.1475	0.28335442	0.35629874	-5.8156154
2298.8506	0.28368374	0.35635511	-5.8674187
2293.578	0.28401307	0.35641099	-5.9198462
2288.3295	0.2843424	0.35646638	-5.9729083
2283.105	0.28467175	0.35652127	-6.026616
2277.9043	0.28500109	0.35657568	-6.0809802
2272.7273	0.28533045	0.35662959	-6.1360123
2267.5737	0.2856598	0.35668303	-6.191724
2262.4434	0.28598915	0.35673598	-6.2481269
2257.3363	0.28631851	0.35678845	-6.3052334
2252.2523	0.28664786	0.35684045	-6.3630557
2247.191	0.2869772	0.35689197	-6.4216066
2242.1525	0.28730655	0.35694303	-6.480899
2237.1365	0.28763588	0.35699361	-6.5409463
2232.1429	0.2879652	0.35704372	-6.6017622
2227.1715	0.28829452	0.35709338	-6.6633604
2222.2222	0.28862382	0.35714257	-6.7257555
2217.2949	0.28895312	0.3571913	-6.7889619
2212.3894	0.28928239	0.35723957	-6.8529947
2207.5055	0.28961166	0.35728739	-6.9178692
2202.6432	0.2899409	0.35733476	-6.9836012
2197.8022	0.29027013	0.35738168	-7.0502069
2192.9825	0.29059934	0.35742816	-7.1177028
2188.1838	0.29092852	0.35747419	-7.1861058
2183.4061	0.29125769	0.35751977	-7.2554334
2178.6492	0.29158683	0.35756492	-7.3257034
2173.913	0.29191594	0.35760963	-7.3969341
2169.1974	0.29224503	0.3576539	-7.4691442
2164.5022	0.29257409	0.35769775	-7.5423531
2159.8272	0.29290312	0.35774116	-7.6165806
2155.1724	0.29323213	0.35778414	-7.6918468
2150.5376	0.2935611	0.3578267	-7.7681727
2145.9227	0.29389003	0.35786883	-7.8455796
2141.3276	0.29421894	0.35791055	-7.9240895
2136.7521	0.2945478	0.35795184	-8.0037251
2132.1962	0.29487663	0.35799272	-8.0845094
2127.6596	0.29520543	0.35803319	-8.1664663
2123.1423	0.29553418	0.35807324	-8.2496203
2118.6441	0.29586289	0.35811289	-8.3339966
2114.1649	0.29619157	0.35815212	-8.419621
2109.7046	0.29652019	0.35819096	-8.5065202
2105.2632	0.29684878	0.35822938	-8.5947216
2100.8403	0.29717732	0.35826741	-8.6842532
2096.4361	0.29750581	0.35830504	-8.7751441
2092.0502	0.29783425	0.35834228	-8.867424
2087.6827	0.29816265	0.35837912	-8.9611238
2083.3333	0.29849099	0.35841556	-9.0562749
2079.0021	0.29881929	0.35845162	-9.15291
2074.6888	0.29914753	0.3584873	-9.2510625
2070.3934	0.29947571	0.35852258	-9.3507671
2066.1157	0.29980385	0.35855748	-9.4520592
2061.8557	0.30013192	0.35859201	-9.5549756
2057.6132	0.30045994	0.35862615	-9.6595541
2053.3881	0.3007879	0.35865992	-9.7658337
2049.1803	0.30111581	0.35869331	-9.8738546
2044.9898	0.30144365	0.35872633	-9.9836584
2040.8163	0.30177143	0.35875898	-10.095288
2036.6599	0.30209914	0.35879126	-10.208787
2032.5203	0.30242679	0.35882318	-10.324202
2028.3976	0.30275438	0.35885473	-10.441579
2024.2915	0.3030819	0.35888592	-10.560968
2020.202	0.30340936	0.35891675	-10.682419
2016.129	0.30373674	0.35894722	-10.805983
2012.0724	0.30406406	0.35897734	-10.931715
2008.0321	0.30439131	0.3590071	-11.05967
2004.008	0.30471848	0.35903651	-11.189905
2000	0.30504559	0.35906557	-11.322481
1996.008	0.30537261	0.35909428	-11.457458
1992.0319	0.30569957	0.35912265	-11.594901
1988.0716	0.30602645	0.35915067	-11.734876
1984.127	0.30635325	0.35917835	-11.87745
1980.198	0.30667998	0.3592057	-12.022696
1976.2846	0.30700662	0.3592327	-12.170686
1972.3866	0.30733319	0.35925937	-12.321497
1968.5039	0.30765967	0.3592857	-12.475208
1964.6365	0.30798608	0.3593117	-12.6319
1960.7843	0.3083124	0.35933738	-12.79166
1956.9472	0.30863864	0.35936272	-12.954575
1953.125	0.30896479	0.35938774	-13.120738
1949.3177	0.30929086	0.35941243	-13.290244
1945.5253	0.30961684	0.3594368	-13.463192
1941.7476	0.30994274	0.35946085	-13.639686
1937.9845	0.31026855	0.35948458	-13.819833
1934.236	0.31059426	0.35950799	-14.003744
1930.5019	0.31091989	0.35953109	-14.191537
1926.7823	0.31124542	0.35955388	-14.383332
1923.0769	0.31157087	0.35957635	-14.579256
1919.3858	0.31189622	0.35959852	-14.779441
1915.7088	0.31222148	0.35962037	-14.984023
1912.0459	0.31254664	0.35964193	-15.193147
1908.3969	0.3128717	0.35966317	-15.406961
1904.7619	0.31319667	0.35968412	-15.625623
1901.1407	0.31352154	0.35970476	-15.849296
1897.5332	0.31384632	0.35972511	-16.078149
1893.9394	0.31417099	0.35974515	-16.312362
1890.3592	0.31449557	0.35976491	-16.552122
1886.7925	0.31482004	0.35978437	-16.797624
1883.2392	0.31514441	0.35980354	-17.049074
1879.6992	0.31546868	0.35982241	-17.306685
1876.1726	0.31579284	0.359841	-17.570684
1872.6592	0.3161169	0.35985931	-17.841306
1869.1589	0.31644086	0.35987733	-18.1188
1865.6716	0.31676471	0.35989506	-18.403427
1862.1974	0.31708845	0.35991251	-18.695461
1858.7361	0.31741209	0.35992969	-18.995189
1855.2876	0.31773561	0.35994658	-19.302917
1851.8519	0.31805903	0.3599632	-19.618962
1848.4288	0.31838233	0.35997955	-19.943662
1845.0185	0.31870553	0.35999562	-20.277373
1841.6206	0.31902861	0.36001142	-20.620469
1838.2353	0.31935158	0.36002695	-20.973347
1834.8624	0.31967444	0.36004222	-21.336426
1831.5018	0.31999718	0.36005721	-21.710147
1828.1536	0.32031981	0.36007194	-22.094981
1824.8175	0.32064232	0.36008641	-22.491425
1821.4936	0.32096472	0.36010062	-22.900005
1818.1818	0.321287	0.36011456	-23.321281
1814.882	0.32160916	0.36012825	-23.755848
1811.5942	0.3219312	0.36014168	-24.204337
1808.3183	0.32225312	0.36015486	-24.667421
1805.0542	0.32257493	0.36016778	-25.145818
1801.8018	0.32289661	0.36018045	-25.640291
1798.5612	0.32321817	0.36019286	-26.151657
1795.3321	0.3235396	0.36020503	-26.680789
1792.1147	0.32386092	0.36021696	-27.22862
1788.9088	0.32418211	0.36022863	-27.796151
1785.7143	0.32450317	0.36024006	-28.384454
1782.5312	0.32482411	0.36025125	-28.994681
1779.3594	0.32514492	0.3602622	-29.628073
1776.1989	0.32546561	0.3602729	-30.285962
1773.0496	0.32578617	0.36028337	-30.969788
1769.9115	0.3261066	0.3602936	-31.681105
1766.7845	0.3264269	0.36030359	-32.421591
1763.6684	0.32674707	0.36031336	-33.193068
1760.5634	0.32706712	0.36032288	-33.99751
1757.4692	0.32738703	0.36033218	-34.837063
